"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.8938176,0.883133,0.9004799,0.9171726,0.9111338,0.9104285,0.9322212,0.928032,0.8939631,0.881636,0.9181189,0.9124646,0.9135254,0.9093473,0.9326921,0.9351142
"2",0.8806604,0.8717911,0.8781306,0.8827665,0.8856067,0.8848406,0.8836808,0.882462,0.880766,0.8708911,0.8836851,0.8794194,0.8860489,0.8849672,0.8835112,0.8825649
"3",0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1
"4",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"5",3,3,5,5,3,3,5,5,3,3,5,5,3,3,5,5
"6",0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1
